occurrenceID	verbatimIdentification	organismQuantity	organismQuantityType	lifeStage	eventID	taxonID	taxonRank	kingdom	surveyTargetID	scientificName	occurrenceStatus	recordedBy	recordedByID	identifiedBy	identifiedByID
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_217697	Electrona antarctica all	1	individuals		BROKE_WEST_RMT_086_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_086_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_217697_Larvae	Electrona antarctica Larvae	1	individuals	Larvae	BROKE_WEST_RMT_086_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_086_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_086_RMT8_BROKE_WEST_RMT_086_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_086_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_086_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697	Electrona antarctica all	4	individuals		BROKE_WEST_RMT_088_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_088_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697_Larvae	Electrona antarctica Larvae	3	individuals	Larvae	BROKE_WEST_RMT_088_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_088_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_088_RMT8_BROKE_WEST_RMT_088_RMT8_217697_Postmeta	Electrona antarctica  Postmeta	1	individuals	Postmeta	BROKE_WEST_RMT_088_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_088_RMT8_217697_Postmeta	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_217697	Electrona antarctica all	2	individuals		BROKE_WEST_RMT_089_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_089_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_217697_Larvae	Electrona antarctica Larvae	2	individuals	Larvae	BROKE_WEST_RMT_089_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_089_RMT8_217697_Larvae	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_089_RMT8_BROKE_WEST_RMT_089_RMT8_234695	Notolepis coatsi	1	individuals		BROKE_WEST_RMT_089_RMT8	urn:lsid:marinespecies.org:taxname:234695	Species	Animalia	BROKE_WEST_RMT_089_RMT8_234695	Notolepis coatsi	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
BROKE_WEST_RMT_094_RMT8_BROKE_WEST_RMT_094_RMT8_217697	Electrona antarctica all	1	individuals		BROKE_WEST_RMT_094_RMT8	urn:lsid:marinespecies.org:taxname:217697	Species	Animalia	BROKE_WEST_RMT_094_RMT8_217697	Electrona antarctica	present	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554	Anton Van de Putte	https://orcid.org/0000-0003-1336-5554
